"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"C.J. Board","NYG","0.8","9.4","0.1","0.0","0.0","0.0","0.0","1.2"
"Marquez Callaway","NO","0.7","8.6","0.1","0.0","0.3","0.0","0.0","1.2"
"John Hightower","PHI","0.7","8.8","0.0","0.0","0.1","0.0","0.0","1.2"
"Richie James Jr.","SF","0.4","8.3","0.1","0.0","0.0","0.0","0.0","1.2"
"Joe Reed","LAC","0.7","10.0","0.0","0.1","0.3","0.0","0.0","1.2"
"Darrius Shepherd","GB","0.7","9.1","0.0","0.0","0.0","0.0","0.0","1.2"
"Collin Johnson","JAC","0.7","9.2","0.0","0.0","0.0","0.0","0.0","1.1"
"Tajae Sharpe","MIN","0.5","6.9","0.1","0.0","0.0","0.0","0.0","1.0"
"Damion Ratley","NYG","0.7","8.5","0.0","0.0","0.0","0.0","0.0","1.0"
"Freddie Swain","SEA","0.6","8.1","0.0","0.0","0.1","0.0","0.0","1.0"
"Zay Jones","LV","0.6","6.9","0.0","0.0","0.0","0.0","0.0","0.9"
"Tee Higgins","CIN","0.5","6.3","0.0","0.0","0.1","0.0","0.0","0.8"
"Cody Hollister","TEN","0.5","6.6","0.0","0.0","0.0","0.0","0.0","0.8"
"Jamal Agnew","DET","0.5","5.8","0.0","0.2","1.0","0.0","0.0","0.8"
"Brandon Zylstra","CAR","0.5","6.4","0.0","0.0","0.0","0.0","0.0","0.8"
"Malik Taylor","GB","0.5","6.1","0.0","0.0","0.1","0.0","0.0","0.8"
"K.J. Hill","LAC","0.4","4.8","0.0","0.8","1.6","0.0","0.0","0.7"
"Trent Sherfield","ARI","0.4","5.5","0.0","0.0","0.0","0.0","0.0","0.7"
"Antonio Gandy-Golden","WAS","0.4","4.8","0.0","0.0","0.1","0.0","0.0","0.7"
"Jason Moore","LAC","0.4","5.2","0.0","0.0","0.0","0.0","0.0","0.6"
"Brandon Powell","ATL","0.4","4.8","0.0","0.0","0.3","0.0","0.0","0.6"
"Christian Blake","ATL","0.5","5.2","0.0","0.0","0.0","0.0","0.0","0.6"
"Mike Thomas","CIN","0.6","5.2","0.0","0.0","0.0","0.0","0.0","0.6"
"Cedrick Wilson","DAL","0.5","5.1","0.0","0.0","0.0","0.0","0.0","0.6"
"Noah Brown","DAL","0.3","4.5","0.0","0.0","0.0","0.0","0.0","0.6"
"Mack Hollins","MIA","0.4","5.1","0.0","0.0","0.0","0.0","0.0","0.6"
"Daurice Fountain","IND","0.3","4.5","0.0","0.0","0.2","0.0","0.0","0.6"
"Diontae Spencer","DEN","0.3","3.9","0.0","0.2","1.0","0.0","0.0","0.5"
"Jaydon Mickens","TB","0.2","3.1","0.0","0.0","0.1","0.0","0.0","0.5"
"Olamide Zaccheaus","ATL","0.3","4.2","0.0","0.0","0.1","0.0","0.0","0.5"
"Byron Pringle","KC","0.3","3.8","0.0","0.0","0.0","0.0","0.0","0.5"
"Alexander Hollins","MIN","0.2","3.5","0.0","0.0","0.0","0.0","0.0","0.5"
"Bennie Fowler III","NO","0.3","3.4","0.0","0.0","0.0","0.0","0.0","0.5"
"Malik Turner","DAL","0.3","4.0","0.0","0.0","0.0","0.0","0.0","0.5"
"Pharoh Cooper","CAR","0.3","3.6","0.0","0.0","0.1","0.0","0.0","0.5"
"Isaiah Wright","WAS","0.3","3.4","0.0","0.0","0.1","0.0","0.0","0.4"
"Tyler Johnson","TB","0.2","2.2","0.0","0.1","0.9","0.0","0.0","0.4"
"Chris Moore","BAL","0.3","3.1","0.0","0.0","0.0","0.0","0.0","0.4"
"John Ursua","SEA","0.2","3.0","0.0","0.0","0.0","0.0","0.0","0.4"
"Gehrig Dieter","KC","0.2","2.9","0.0","0.0","0.0","0.0","0.0","0.4"
"KeeSean Johnson","ARI","0.2","2.8","0.0","0.0","0.0","0.0","0.0","0.4"
"Ashton Dulin","IND","0.3","3.7","0.0","0.0","0.0","0.0","0.0","0.4"
"Tyrie Cleveland","DEN","0.4","4.0","0.0","0.0","0.0","0.0","0.0","0.4"
"Robert Foster","GB","0.2","3.4","0.0","0.0","0.0","0.0","0.0","0.4"
"JJ Arcega-Whiteside","PHI","0.2","4.0","0.0","0.0","0.0","0.0","0.0","0.4"
