"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Dezmon Patmon","IND","0.3","4.3","0.0","0.0","0.2","0.0","0.0","0.5"
"Andre Roberts","BUF","0.3","3.9","0.0","0.1","0.3","0.0","0.0","0.5"
"Robert Foster","GB","0.3","4.0","0.0","0.0","0.1","0.0","0.0","0.5"
"Shelton Gibson","WAS","0.3","3.9","0.0","0.0","0.0","0.0","0.0","0.5"
"Cedrick Wilson","DAL","0.3","3.9","0.0","0.0","0.1","0.0","0.0","0.5"
"Tyrie Cleveland","DEN","0.3","4.0","0.0","0.0","0.1","0.0","0.0","0.5"
"Brandon Powell","ATL","0.4","4.1","0.0","0.0","0.0","0.0","0.0","0.5"
"Isaiah Wright","WAS","0.3","3.7","0.0","0.0","0.1","0.0","0.0","0.5"
"Diontae Spencer","DEN","0.2","2.8","0.0","0.4","1.2","0.0","0.0","0.4"
"Josh Gordon","SEA","0.3","4.4","0.0","0.0","0.1","0.0","0.0","0.4"
"K.J. Osborn","MIN","0.2","3.5","0.0","0.0","0.3","0.0","0.0","0.4"
"Cody Hollister","TEN","0.3","3.6","0.0","0.0","0.1","0.0","0.0","0.4"
"Chris Thompson","JAC","0.3","3.3","0.0","0.0","0.0","0.0","0.0","0.4"
"Lynn Bowden Jr.","MIA","0.3","3.8","0.0","0.0","0.0","0.0","0.0","0.4"
"Donovan Peoples-Jones","CLE","0.3","3.6","0.0","0.0","0.1","0.0","0.0","0.4"
"Keith Kirkwood","CAR","0.2","3.0","0.0","0.0","0.0","0.0","0.0","0.4"
"Trent Sherfield","ARI","0.2","2.9","0.0","0.0","0.0","0.0","0.0","0.3"
"Brandon Zylstra","CAR","0.3","3.2","0.0","0.0","0.0","0.0","0.0","0.3"
"Malik Turner","DAL","0.3","2.9","0.0","0.0","0.0","0.0","0.0","0.3"
"Chris Moore","BAL","0.2","2.8","0.0","0.0","0.1","0.0","0.0","0.3"
"Richie James","SF","0.2","2.8","0.0","0.0","0.3","0.0","0.0","0.3"
"Jeff Smith","NYJ","0.3","3.0","0.0","0.0","0.1","0.0","0.0","0.3"
"Collin Johnson","JAC","0.2","3.1","0.0","0.0","0.0","0.0","0.0","0.3"
"Nsimba Webster","LAR","0.2","2.3","0.0","0.0","0.1","0.0","0.0","0.3"
"Alexander Hollins","MIN","0.2","2.4","0.0","0.0","0.0","0.0","0.0","0.3"
"Taywan Taylor","CLE","0.2","2.9","0.0","0.0","0.1","0.0","0.0","0.3"
"Ventell Bryant","DAL","0.2","2.7","0.0","0.0","0.0","0.0","0.0","0.3"
"Ray-Ray McCloud","PIT","0.1","1.9","0.0","0.2","1.0","0.0","0.0","0.3"
"Gehrig Dieter","KC","0.2","2.2","0.0","0.0","0.0","0.0","0.0","0.3"
"Trey Quinn","JAC","0.4","3.0","0.0","0.0","0.0","0.0","0.0","0.3"
"Deon Cain","PIT","0.2","2.7","0.0","0.0","0.1","0.0","0.0","0.3"
"Keelan Doss","LV","0.2","2.7","0.0","0.0","0.1","0.0","0.0","0.3"
"Jake Kumerow","BUF","0.2","2.8","0.0","0.0","0.0","0.0","0.0","0.3"
"Rico Gafford","LV","0.2","2.4","0.0","0.0","0.0","0.0","0.0","0.3"
"Ashton Dulin","IND","0.2","2.4","0.0","0.0","0.0","0.0","0.0","0.3"
"Marquez Callaway","NO","0.2","2.5","0.0","0.0","0.0","0.0","0.0","0.3"
"Jauan Jennings","SF","0.2","2.4","0.0","0.0","0.1","0.0","0.0","0.2"
"Michael Walker","JAC","0.2","2.1","0.0","0.0","0.0","0.0","0.0","0.2"
"Malcolm Perry","MIA","0.2","2.3","0.0","0.0","0.0","0.0","0.0","0.2"
"Chad Hansen","HOU","0.2","1.8","0.0","0.0","0.0","0.0","0.0","0.2"
"Mike Thomas","CIN","0.2","1.9","0.0","0.0","0.0","0.0","0.0","0.2"
"Jaylon Moore","BAL","0.2","2.0","0.0","0.0","0.0","0.0","0.0","0.2"
"Tyler Simmons","HOU","0.2","2.0","0.0","0.0","0.0","0.0","0.0","0.2"
"Steven Mitchell Jr.","HOU","0.1","1.6","0.0","0.0","0.0","0.0","0.0","0.2"
"Vyncint Smith","NYJ","0.1","1.6","0.0","0.0","0.2","0.0","0.0","0.2"
"Marcus Kemp","KC","0.2","1.7","0.0","0.0","0.0","0.0","0.0","0.2"
"Matt Slater","NE","0.0","1.4","0.0","0.0","0.1","0.0","0.0","0.2"
"Cody Core","NYG","0.1","1.3","0.0","0.0","0.0","0.0","0.0","0.2"
"Dan Chisena","MIN","0.1","1.6","0.0","0.0","0.0","0.0","0.0","0.2"
"Bennie Fowler III","NO","0.1","1.0","0.0","0.0","0.0","0.0","0.0","0.1"
"Trishton Jackson","LAR","0.1","1.2","0.0","0.0","0.0","0.0","0.0","0.1"
"Travis Fulgham","PHI","0.1","0.8","0.0","0.0","0.0","0.0","0.0","0.1"
"Stanley Morgan Jr.","CIN","0.1","0.8","0.0","0.0","0.0","0.0","0.0","0.1"
"JoJo Natson","CLE","0.1","1.1","0.0","0.0","0.0","0.0","0.0","0.1"
"DeAndrew White","BAL","0.1","0.7","0.0","0.0","0.0","0.0","0.0","0.1"
"Lil'Jordan Humphrey","NO","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"Ishmael Hyman","CAR","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
""
""
